-32768	32
-32256	33
-31744	50
-31232	30
-30720	71
-30208	88
-29696	87
-29184	110
-28672	98
-28160	108
-27648	146
-27136	138
-26624	169
-26112	156
-25600	190
-25088	229
-24576	233
-24064	264
-23552	334
-23040	343
-22528	399
-22016	474
-21504	539
-20992	619
-20480	701
-19968	813
-19456	872
-18944	981
-18432	1077
-17920	1239
-17408	1414
-16896	1604
-16384	1795
-15872	2033
-15360	2213
-14848	2550
-14336	2655
-13824	3113
-13312	3424
-12800	3757
-12288	4067
-11776	4622
-11264	4889
-10752	5385
-10240	5979
-9728	6417
-9216	7126
-8704	7648
-8192	8019
-7680	8620
-7168	9251
-6656	9795
-6144	10328
-5632	11087
-5120	11439
-4608	11855
-4096	12260
-3584	12980
-3072	13097
-2560	13266
-2048	13735
-1536	13779
-1024	13873
-512	13895
0	14034
512	14133
1024	13660
1536	13613
2048	13359
2560	13085
3072	12954
3584	12676
4096	11947
4608	11541
5120	10895
5632	10332
6144	9931
6656	9257
7168	8609
7680	7803
8192	7462
8704	6665
9216	6154
9728	5638
10240	5056
10752	4775
11264	4267
11776	3673
12288	3472
12800	3052
13312	2739
13824	2528
14336	2178
14848	1968
15360	1708
15872	1506
16384	1271
16896	1146
17408	895
17920	833
18432	690
18944	606
19456	526
19968	502
20480	448
20992	396
21504	329
22016	283
22528	230
23040	223
23552	182
24064	157
24576	141
25088	141
25600	132
26112	95
26624	112
27136	94
27648	95
28160	67
28672	52
29184	71
29696	51
30208	39
30720	54
31232	37
31744	39
