-16384	1
-15360	1
-14848	1
-14336	5
-13824	12
-13312	12
-12800	19
-12288	34
-11776	39
-11264	71
-10752	120
-10240	181
-9728	322
-9216	508
-8704	712
-8192	1063
-7680	1646
-7168	2421
-6656	3395
-6144	4743
-5632	6561
-5120	8912
-4608	11311
-4096	14191
-3584	17501
-3072	20860
-2560	24494
-2048	27854
-1536	30679
-1024	33096
-512	34612
0	35399
512	35262
1024	33355
1536	31205
2048	28509
2560	25444
3072	21717
3584	18144
4096	14422
4608	11337
5120	8354
5632	6348
6144	4499
6656	3192
7168	2269
7680	1496
8192	1048
8704	663
9216	425
9728	276
10240	184
10752	123
11264	64
11776	32
12288	27
12800	16
13312	7
13824	2
14336	2
14848	2
